Station,Year,region,PC1_tmin,PC2_tmin,PC3_tmin
USC00410012,2004,West,-17.281208909091248,2.4640717832076646,0.7047432749672815
USC00410012,2005,West,-18.002975645972015,3.0161047865099775,-0.5055321351369315
USC00410012,2006,West,-16.90151487446611,0.5094544924910664,0.22324113093111464
USC00410012,2007,West,-18.57842006321889,0.20845727137211512,1.3100315380897172
USC00410012,2008,West,-21.308222610696646,0.00974982725362139,0.7655233572549704
USC00410012,2009,West,-21.083151614193625,1.824693109228324,-1.40179183028809
USC00410012,2010,West,-19.204719864225712,-1.6155767147024385,0.4510410248325414
USC00410012,2011,West,-19.626413174197157,-4.546884399389718,-0.947859311198485
USC00410012,2012,West,-15.060144574117981,0.4656025754097506,-1.2316031262549672
USC00410012,2013,West,-21.07577250124069,0.8236782641916598,-1.2404140389398464
USC00410012,2014,West,-21.839043330998827,-4.405427850574007,2.4104128234251725
USC00410012,2015,West,-16.82752669758014,-1.3610818661239428,1.2870433452313428
USC00410012,2016,West,-14.480552672629937,0.683141317558217,-1.1466678004686983
USC00410012,2017,West,-15.551512919280764,2.971762981331196,0.5102514960393343
USC00410012,2018,West,-18.250605347821924,-2.802850951242611,-0.760902196092804
USC00410012,2019,West,-18.266382314727775,-1.4013199434513801,0.8269991526900213
USC00410012,2020,West,-16.592157755115817,1.430197914732446,-1.5079613732145027
USC00410012,2021,West,-18.016055627050797,-3.073922454614671,2.4347532550855853
USC00410013,2002,Central,-5.131650542883918,-2.448735690660758,0.034125621775427106
USC00410013,2003,Central,-5.728494695704459,-1.9071615490129723,-0.6145339196243071
USC00410013,2004,Central,-3.5375708313132925,1.058471429402438,-0.30286162566648756
USC00410013,2005,Central,-4.2503549996874135,1.0926932807834469,-2.3523031364485014
USC00410013,2006,Central,-2.6142861234448205,-0.10433777443032,-1.3805878389771173
USC00410013,2007,Central,-3.621207483945515,-1.0141308057425995,-1.4210741422077326
USC00410013,2008,Central,-4.168887881709022,-0.428293487380877,-0.8760937507319575
USC00410013,2011,Central,-3.8737887147178434,-4.405734963160334,-3.432358207159851
USC00410013,2012,Central,-0.14770358705541042,0.4883769599397816,-1.4306459081893408
USC00410013,2013,Central,-6.542772497415097,-0.6702183722419797,-2.5808141623991894
USC00410013,2016,Central,-3.4019526202172443,-0.9846820214991858,-0.8758302476508781
USC00410013,2018,Central,-7.374362236970647,-3.2614981231008926,-2.1951133297325036
USC00410013,2019,Central,-7.608479750518004,-1.2122483553847125,-0.308598955615782
USC00410013,2020,Central,-6.404294398947975,0.8466586631746047,-1.2316640628700952
USC00410013,2021,Central,-5.78274280867635,-5.279124641761374,4.642995738968562
USC00410040,1993,West,-2.2027541402572552,-0.7083102379296946,0.6000917755104744
USC00410040,1994,West,2.008974797860404,-0.7427417249129817,1.4584384883849708
USC00410040,1995,West,-0.6164450320945818,-0.21393063940651302,0.3730137666852009
USC00410040,1996,West,-4.87158713873168,-3.0151913319343855,-4.389971996733895
USC00410040,1997,West,-7.053076723087731,0.1998324264312359,-3.279992391776222
USC00410040,1998,West,-0.6521035991861908,-2.1385646514502596,-3.2154299533616815
USC00410040,1999,West,-4.983561469516001,-1.0492509801770318,-2.6278365095615186
USC00410040,2000,West,-2.089363570238838,-0.4406114304698363,-3.86169475771565
USC00410040,2001,West,-1.418130681525568,-1.3065590831433944,-2.106516168240372
USC00410040,2002,West,-4.60938094930248,-3.487368324718492,-1.836009911122261
USC00410040,2003,West,-3.628014828571864,0.134763067876559,-2.1056835571541868
USC00410040,2004,West,-2.336424627538186,2.3676459267233447,-1.8625319868520407
USC00410040,2005,West,-4.173929593385321,2.5413956763506214,-2.47549507752257
USC00410040,2006,West,-2.5341465475833047,-1.1322234554984334,-1.7839361707060277
USC00410040,2009,West,-8.592226006539917,-0.3051145219147138,-4.218253776134752
USC00410040,2010,West,-9.100600386405318,-2.492668145445297,-3.0040255114091536
USC00410040,2011,West,-3.2655299278432537,-4.590166676045893,-3.156673841198824
USC00410040,2012,West,0.619597560236727,-1.5454199061051206,-1.4036949973409563
USC00410040,2013,West,-4.025787800921037,0.2201357031778599,-3.507414029460982
USC00410040,2014,West,-6.7099173085479435,-6.196914100910831,2.383938439814969
USC00410040,2015,West,-2.5028740704365333,-2.533776273597578,-2.5740303353560705
USC00410040,2016,West,-0.4336552787215595,-3.9086915496739287,0.40049130134155675
USC00410040,2017,West,-1.9521567055918183,1.6803236554702465,-0.6272001370387166
USC00410040,2018,West,-4.094794290172008,-2.6096135516528243,-2.224719336739849
USC00410040,2019,West,-4.045446812787102,1.5820363142907645,-1.5980144518206565
USC00410120,1980,Central,-7.054549373656766,-0.7791115559579822,2.0468329815670074
USC00410120,1981,Central,-1.654240409840014,2.6815548857460705,0.4515102133574551
USC00410120,1982,Central,-5.438535275876493,-3.2207279381833267,0.9124642248384198
USC00410120,1986,Central,1.0398856714360605,0.7454503480099746,-0.45622880571118785
USC00410120,1988,Central,-4.292575921877091,-1.8556541667520534,-0.04644474312033253
USC00410120,1989,Central,-6.600989690496814,0.1192638967923294,-2.5081547182280204
USC00410120,1990,Central,-0.34841320024870015,3.290457808438749,-2.2863202024598515
USC00410120,1991,Central,-1.7945247189984883,0.4742847018612224,2.042111926667001
USC00410120,1992,Central,-3.5875443437802517,2.22491913725381,2.1986320374920645
USC00410120,1993,Central,-5.5442331207452895,-1.2623055103612941,1.207957594380055
USC00410120,1994,Central,-2.5891010321070667,-1.3844421843133148,1.4585794874666647
USC00410120,1995,Central,-2.4180864811586886,1.7174152310852335,1.3257952040803076
