Station,Year,region,PC1_prcp,PC2_prcp,PC3_prcp
US1TXAC0002,2013,Central,-951.6467031829161,-70.50285756716744,672.6199092778912
US1TXAC0003,2013,Central,-960.8987552278229,-158.98885527218374,170.15939402491665
US1TXAC0003,2014,Central,-1213.386621116383,59.389728298432615,158.10772551155287
US1TXAC0009,2018,Central,618.00363902356,-1339.9103810584868,822.8526864768445
US1TXAC0009,2019,Central,-296.82801002559063,227.87370218980013,-373.35605539981657
US1TXAC0009,2020,Central,301.45841269210723,-175.98649950127714,316.4465883537166
US1TXAC0009,2021,Central,-245.07226722986047,518.9273878410788,-881.0297896752434
US1TXAD0002,2012,West,-1411.5627286902004,-362.19079635408025,153.06961115442277
US1TXAD0002,2013,West,-1845.7955350229174,-33.48687038432531,-358.0078896118501
US1TXAD0002,2014,West,-1732.9824842497933,-510.45232827204757,768.5972430546886
US1TXAD0002,2017,West,-1599.4622899563205,340.6492295947129,254.4720107990064
US1TXAG0001,2010,East,-863.0011446012845,-230.70354275461057,185.55649634021108
US1TXAG0001,2011,East,-77.88570990455992,66.24457821243413,-214.11126935493724
US1TXAG0001,2012,East,88.84038445783654,-334.7700132721084,1031.4285877898637
US1TXAG0001,2013,East,637.1058357365328,-848.3417805337712,305.75876070719596
US1TXAG0001,2014,East,671.2799719451564,-100.39247580772029,-1089.622945415534
US1TXAG0001,2015,East,3419.9083387286882,-40.289332672478466,-2025.4853615449342
US1TXAG0001,2016,East,1163.2805453532906,1345.6634116675364,-301.6650617732105
US1TXAG0001,2017,East,1085.51355054528,2295.1740286738063,925.1348396390382
US1TXAG0001,2018,East,1859.6746429138875,-2476.9867010238067,2262.2734325894407
US1TXAG0001,2019,East,1431.5416890597312,-169.92741039677236,-424.66047071890176
US1TXAG0001,2020,East,628.5638260721812,407.4626395464785,609.6541518388523
US1TXAG0001,2021,East,1891.551001965062,623.143389782422,-1489.5450373438093
US1TXAG0002,2010,East,-523.7851180714583,500.602384607869,-236.62489597660584
US1TXAG0002,2011,East,11.76579932970435,-522.8990672578852,56.75557209999931
US1TXAG0002,2012,East,912.974357109018,198.28096849020088,1004.0894342707392
US1TXAG0002,2013,East,929.9367343463741,-534.3032033470914,-83.0876942883092
US1TXAG0002,2014,East,993.5314563885777,-215.75177125863112,19.863407304988755
US1TXAG0002,2015,East,2672.6431752892713,46.71278060561811,-549.948629756141
US1TXAG0002,2016,East,1761.556967943396,2278.3654020653616,27.72923907360871
US1TXAG0002,2017,East,2157.201640146849,4560.9986281183765,2074.822923125895
US1TXAG0002,2018,East,2362.9395719429685,-1328.8765583324803,3490.210212623406
US1TXAG0002,2019,East,1901.3266806436895,-125.90242223469353,-126.11556817791393
US1TXAG0002,2020,East,1194.8900442361305,544.3706167242066,295.59801577883366
US1TXAG0002,2021,East,2361.7905495643818,854.0471148927993,-1397.6570626168468
US1TXAG0003,2012,East,447.27392284648295,-84.83540909764521,1159.988275755144
US1TXAG0003,2013,East,1113.8256955866586,-579.2824083759357,608.3400099600225
US1TXAG0003,2014,East,1607.2648083043678,1272.5776028354542,611.7216268005121
US1TXAG0003,2015,East,4220.996547989078,622.1491844900319,-2082.7518059812255
US1TXAG0003,2016,East,1340.1600413598044,1506.8694407462551,161.51575236209874
US1TXAG0003,2017,East,1752.053147922164,2734.9309562792782,1135.0654966238203
US1TXAG0003,2018,East,2385.165347748808,-2653.1775971813504,2351.1763965030905
US1TXAG0003,2019,East,1377.5591587994882,-148.58945873137446,-146.2387986204244
US1TXAG0003,2020,East,622.7099819078317,47.6437563868776,789.0953516947585
US1TXAG0003,2021,East,2216.3952007477474,894.5018547683202,-1438.4972905274044
US1TXAG0005,2015,East,3362.076802235444,702.4926751634904,-2200.59994569666
US1TXAG0005,2016,East,678.700296311973,1345.583974990172,-46.27033787087623
US1TXAG0005,2017,East,1010.8933260839985,2489.9188254283654,1246.0734845085262
US1TXAG0005,2018,East,1972.2735225251654,-1968.7650834115104,1397.026880183409
US1TXAG0006,2017,East,1172.8586551345243,2494.586087343803,1509.4128801992952
US1TXAG0006,2018,East,2061.0857485616198,-2466.6465307231033,2172.6872183198907
US1TXAG0006,2019,East,1250.1140872183046,-177.57819618355364,-419.9193176779484
US1TXAG0006,2020,East,606.1840732517794,346.7729751001616,1056.5499023837388
US1TXAG0006,2021,East,1272.0586536624319,358.534149890036,-1275.6677860793102
US1TXAG0009,2018,East,2116.353925080357,-2526.903923387954,2802.60997950338
US1TXAG0009,2019,East,1612.241691410461,-139.76438350512333,-121.84175684845883
US1TXAG0009,2020,East,676.0851120097814,513.472061329348,624.633763252017
US1TXAG0009,2021,East,1761.8355282128687,615.8990266181236,-1527.5112110118603
US1TXAG0011,2020,East,1360.5841339945418,681.3061587046353,187.99580454718375
US1TXAG0011,2021,East,2624.2119841101485,1123.1515229936992,-1802.023472256351
US1TXAM0002,2010,Panhandle,-1075.562571789806,94.46274273006875,-11.432236637864094
US1TXAM0002,2011,Panhandle,-1922.686387025311,-331.57083252077916,-469.2098130962271
US1TXAM0002,2012,Panhandle,-1369.5634342755052,360.32623215556885,-316.5005202465772
US1TXAM0002,2013,Panhandle,-1690.6941482895309,-96.16416127514228,52.777758805109556
US1TXAM0002,2014,Panhandle,-1787.6519362493364,89.98857054960658,-320.51821896436263
US1TXAN0003,2009,Central,1247.5126054435577,-1596.047964427998,1707.431159739865
US1TXAN0004,2009,Central,252.9315575743858,-1567.8524351787062,1173.0727245353146
US1TXAN0006,2015,Central,2108.943129541425,-22.401911443540428,-794.8761527585517
