Station,Year,region,PC1_tmax,PC2_tmax,PC3_tmax
USC00410012,2004,West,-11.921426679834987,1.8276478872896504,3.9713453206240885
USC00410012,2005,West,-9.180597673596552,3.410008797316806,1.0605822578016415
USC00410012,2006,West,-4.76116790734126,-1.5866804734637583,4.926909239221015
USC00410012,2007,West,-13.059214909578586,5.463933911993138,0.877329719619155
USC00410012,2008,West,-7.774771647804741,2.419229464585534,4.9420164761904495
USC00410012,2009,West,-7.154621038541137,-0.3993279158988372,7.4182857110439
USC00410012,2010,West,-11.347625082611728,5.221918482458378,-3.370896199000022
USC00410012,2011,West,-6.256180860242438,-7.215178931301445,0.4021411019725605
USC00410012,2012,West,-2.367315973237311,0.03495193140652475,0.8811038413013819
USC00410012,2013,West,-9.182571218392567,-0.2055789173575704,1.5805473161552257
USC00410012,2014,West,-10.34047894598281,1.1063431973026496,3.0524473554484075
USC00410012,2015,West,-11.331858936269924,2.2597004071527778,-0.9351585085636671
USC00410012,2016,West,-6.203811435394826,-0.03534941513443357,2.601211477754145
USC00410012,2017,West,-5.760606048402593,1.233111372060577,5.523711443264727
USC00410012,2018,West,-9.238920036105242,-5.816348052864043,3.97655845419359
USC00410012,2019,West,-10.743798207206822,-0.3364995430604196,-0.23679238642573353
USC00410012,2020,West,-6.5027271923935785,-2.1082951013884994,-1.8440462285693684
USC00410012,2021,West,-8.46198745821124,6.22947647628984,-5.570232330120412
USC00410013,2002,Central,-5.530757560966222,-1.4097701696926137,1.4295887244917012
USC00410013,2003,Central,-1.958283052906168,0.020130522734440603,-1.9036476451653144
USC00410013,2004,Central,-5.625458046784857,0.7529126625504006,1.5630250333001499
USC00410013,2005,Central,-3.6850810618935697,1.915166639015645,-1.082651220559967
USC00410013,2006,Central,2.674316513607536,-2.200389110100822,1.0531081100221726
USC00410013,2007,Central,-7.478687545169649,4.803104395544111,-1.5326390441639077
USC00410013,2008,Central,-0.5693617049961546,-0.6645139777197571,1.7571645676621515
USC00410013,2011,Central,3.336598759048627,-11.705477319492907,-4.132533832731923
USC00410013,2012,Central,3.655189488367242,-3.846454010683196,-1.9225448872997788
USC00410013,2013,Central,-2.5050885313879547,-3.715582723886719,1.1832990612423089
USC00410013,2016,Central,-4.074751067488265,1.0390658733815528,2.463096732251355
USC00410013,2018,Central,-1.8658883094120284,-5.103720412326091,1.5195764536673124
USC00410013,2019,Central,-3.878754018378885,1.046586102629277,-3.7099870478342254
USC00410013,2020,Central,0.1723096610764827,-1.238623543790169,-1.792514897715769
USC00410013,2021,Central,-3.2548533420928436,8.174516018894089,-7.427119444167104
USC00410040,1993,West,-1.2417686653836455,-0.3539808036519716,0.6667408088006397
USC00410040,1994,West,1.3799024064405643,-1.5952239833602562,-0.48835904409265396
USC00410040,1995,West,1.4994829940387433,0.6679776712326628,1.3829628013312885
USC00410040,1996,West,2.4189949356443634,-2.251593743741495,2.2543632803156655
USC00410040,1997,West,-4.114918787057803,0.17495661344123903,-2.2529756596760038
USC00410040,1998,West,3.1080900446486197,-3.5833370971489202,2.713408209020592
USC00410040,1999,West,4.1819202977955285,1.6759735272934009,2.3796267746272584
USC00410040,2000,West,1.2838452965127516,-6.290251989840407,6.326643798657432
USC00410040,2001,West,-2.162972507757118,-1.7491806380221036,-1.8135259839786713
USC00410040,2002,West,-1.6931662218524366,-2.322267955732343,0.8279731331785101
USC00410040,2003,West,-0.14666959607865238,0.30209301002504674,0.112876858775671
USC00410040,2004,West,-4.735274364241178,2.30513997232368,1.6406418805495235
USC00410040,2005,West,1.5457602173211171,1.6223477660537355,-1.7023891252752748
USC00410040,2006,West,6.683573447825495,-2.0612174245215726,2.5530670032916767
USC00410040,2009,West,2.526131824680064,-3.0088262482429116,4.5073381325807205
USC00410040,2010,West,-2.5317331085460353,4.15751307080604,-3.9646639799149668
USC00410040,2011,West,4.848886987583597,-5.863140178251669,-1.0588814705849714
USC00410040,2012,West,3.1731301368365763,-0.29902619774782124,-0.2680196778837143
USC00410040,2013,West,-1.1650984619185891,-3.1988781636722337,4.049284685654566
USC00410040,2014,West,-2.108418871199561,1.0069665550489901,1.5450764800252657
USC00410040,2015,West,-4.535999425731276,3.1465772485373904,-3.4312962970677177
USC00410040,2016,West,0.04467454426459483,1.679404264628893,2.462169710748345
USC00410040,2017,West,2.8742371226951633,0.36296343659108743,6.1596817900756236
USC00410040,2018,West,-2.211687635940578,-4.108333398113757,3.9092081924788395
USC00410040,2019,West,-0.7323808522820912,2.283550650604454,-2.0483088971467325
USC00410120,1980,Central,-1.343306099215127,-2.81589636715281,-3.725172529014351
USC00410120,1981,Central,-1.5018512419807877,0.4705456212158623,-1.752803726643421
USC00410120,1982,Central,-4.664890601262485,0.7427876012309724,-2.0654732245036556
USC00410120,1986,Central,-1.4729207037728287,-4.11558091510102,5.094325562341037
USC00410120,1988,Central,-2.5197943509389376,0.5798539111224699,-1.9785329657416852
USC00410120,1989,Central,-4.628757701334038,1.047295203323337,-2.022141147874258
USC00410120,1990,Central,-0.4401927052557113,-0.027073104333922515,3.1147980784221296
USC00410120,1991,Central,-2.833560697104758,-0.18950482739570162,4.2238307177859085
USC00410120,1992,Central,-3.223483635907357,3.1294386216182275,1.7698086681145853
USC00410120,1993,Central,-3.727881604290218,-1.4432298044322707,-2.622492597397887
USC00410120,1994,Central,-0.6769731076997942,-1.8545319487558132,0.44524429887897554
USC00410120,1995,Central,-0.9358889154261902,1.6867159353781602,0.7226337180480513
USC00410120,1996,Central,1.5703461658890348,-0.41038913241690267,3.0050987039689154
USC00410120,2000,Central,0.3860005543503462,-9.373498338220038,3.0752340811174754
USC00410120,2001,Central,-4.430663373312129,-3.075611090830641,-5.011201775196689
USC00410120,2002,Central,-5.742232379851345,-0.8798411091282574,0.81151491454861
USC00410120,2003,Central,-2.4146995097006396,0.3790804658164788,-3.1511987679739875
USC00410120,2004,Central,-4.2097518058555465,0.2655716848507197,-0.0793156140110014
USC00410120,2005,Central,-2.425505804235314,1.4638412098799165,-1.7943947886887983
USC00410120,2006,Central,3.5845316055692393,-3.1951489017542016,-0.6405118641823933
USC00410120,2009,Central,-1.3407993122513915,-4.081545767368809,4.941736340645118
USC00410120,2010,Central,-5.241192873989618,1.7022397272877114,-6.578627896037247
USC00410120,2011,Central,1.2162488929076005,-9.982644180294649,-3.695415537815009
USC00410120,2012,Central,1.6112408817652408,-2.669964267374212,-1.0029824321656733
USC00410120,2013,Central,-4.310758216915957,-2.3014521479614416,1.017295294705015
USC00410120,2014,Central,-4.675712228656806,-0.45628925748765425,-1.641739831817901
USC00410120,2015,Central,-4.923149569147526,2.1992036335915017,-3.1940237366110793
USC00410120,2016,Central,-1.365393707348801,1.9235928690239916,1.0595567480309498
USC00410120,2017,Central,0.16680835422725693,-0.21940807738918267,3.3363052268435034
USC00410120,2018,Central,-4.391689749941349,-6.019961862565374,1.1985573227657227
USC00410120,2019,Central,-5.234669392013927,1.1011504953455074,-4.004459160488068
USC00410120,2020,Central,-1.0958111255775975,-0.9828789850997666,-1.5024132823516325
USC00410120,2021,Central,-5.259031314745101,7.582774414854832,-7.969247807632215
USC00410144,1980,Central,10.942212273469579,-1.4634890535705907,-0.47088617067925753
USC00410144,1981,Central,10.899224413612686,4.599014258054659,-1.7016445157107967
USC00410144,1982,Central,10.693007159620763,1.0548841943514589,-2.2980981743105957
USC00410144,1983,Central,9.516818099847143,0.4992081895851328,-0.06108705944899384
USC00410144,1984,Central,13.420914290537198,2.3408124514026483,-1.1232253442439841
USC00410144,1988,Central,10.117255381108947,2.8347817068521763,-1.9535319247176162
